t		Dm = 8 sig = 0.2		Dm = 8 sig = 0.5		Dm =10 sig = 0.2		Dm = 10 sig = 0.5
22.8		0.000176376		0.001391213		0.000139675		0.001022342
22.9		0.000175869		0.00138601		0.000136291		0.000998505
23		0.000171175		0.001335003		0.000129416		0.000951654
23.1		0.000168813		0.001310678		0.000127749		0.000939754
23.2		0.000167804		0.00129082		0.000128067		0.000942671
23.3		0.00016867		0.001292953		0.000128781		0.000948379
23.4		0.000169581		0.001308582		0.000128748		0.000948043
23.5		0.000169064		0.001314068		0.00013052		0.000960569
23.6		0.000168824		0.001310337		0.000134218		0.000985924
23.7		0.000169354		0.001303756		0.000138389		0.001014099
23.8		0.000171602		0.001321237		0.000144154		0.001046148
23.9		0.000168421		0.001305188		0.000139314		0.001011249
24		0.00016889		0.001310432		0.000139285		0.001003976
24.1		0.000169466		0.001304657		0.000140443		0.001012302
24.2		0.000170213		0.001316912		0.000141747		0.001016747
24.3		0.000173259		0.001356901		0.000146021		0.001040193
24.4		0.000171156		0.001334937		0.000139363		0.00099836
24.5		0.000170184		0.001316224		0.000135443		0.000980971
24.6		0.000172462		0.001329739		0.000136661		0.000989088
24.7		0.000181784		0.001423666		0.000145802		0.001042663
24.8		0.000184183		0.001464739		0.000141104		0.00100672
24.9		0.000178089		0.001388625		0.000131798		0.00095225
25		0.000177538		0.001368939		0.000131191		0.000951021
25.1		0.000171965		0.001335937		0.000125914		0.000916055
25.2		0.000166236		0.001289891		0.000119156		0.000869799
25.3		0.000164408		0.001247619		0.000117257		0.000859651
25.4		0.000164869		0.001221837		0.000117541		0.000868287
25.5		0.000164738		0.001218276		0.000117049		0.000866029
25.6		0.000166591		0.001244173		0.000116671		0.000861638
25.7		0.00017006		0.001274735		0.000117429		0.000864487
25.8		0.000172354		0.001292847		0.000119336		0.000875938
25.9		0.000176395		0.001328402		0.000122718		0.000895483
26		0.000182512		0.001436368		0.000129816		0.000934215
26.1		0.00017886		0.00136944		0.000124985		0.000907508
26.2		0.000175907		0.001299083		0.000123326		0.000898788
26.3		0.000175739		0.001280831		0.000126255		0.000926612
26.4		0.000175304		0.001295024		0.000127431		0.000929652
26.5		0.000174591		0.001315244		0.000125694		0.000918462
26.6		0.000171663		0.001274253		0.000121195		0.00088866
26.7		0.000169783		0.001261929		0.000120448		0.00088432
26.8		0.000169157		0.001277758		0.000122248		0.000891377
26.9		0.000170489		0.001310609		0.000123363		0.000902332
27		0.000174534		0.001331427		0.000123071		0.000897915
27.1		0.000177145		0.001318193		0.000122285		0.000899582
27.2		0.000177306		0.001312143		0.000120393		0.000893946
27.3		0.000177269		0.001324907		0.000117352		0.00087825
27.4		0.000178852		0.001346848		0.000114539		0.000859349
27.5		0.000177715		0.001314537		0.000110353		0.000822848
27.6		0.000173864		0.001294505		0.000105292		0.000786268
27.7		0.000170338		0.00128946		0.000100558		0.000755999
27.8		0.000173636		0.001316328		0.000100028		0.000754549
27.9		0.000178461		0.001299737		0.000101701		0.000767053
28		0.000181022		0.001288706		0.00010331		0.00078251
28.1		0.000184746		0.0013309		0.000104752		0.000791842
28.2		0.000191746		0.001430537		0.000110205		0.000833643
28.3		0.000187198		0.001363413		0.000109479		0.000821597
28.4		0.000180842		0.001289405		0.000106008		0.000795342
28.5		0.000176388		0.001265827		0.000103201		0.00077638
28.6		0.000173218		0.001268979		0.000102438		0.000771385
28.7		0.00017469		0.001273416		0.000103828		0.000780379
28.8		0.000178516		0.001271138		0.000105356		0.000793599
28.9		0.000180626		0.001287913		0.000107802		0.000812375
29		0.000183729		0.001337196		0.00010884		0.000834981
29.1		0.000193484		0.001450106		0.000114122		0.000876123
29.2		0.000196262		0.001459205		0.000113357		0.000860514
29.3		0.000193001		0.00142884		0.000106266		0.000809369
29.4		0.000194998		0.00147912		0.00010279		0.000789429
29.5		0.00019492		0.001476738		0.000100129		0.000776224
29.6		0.000191558		0.001405571		9.90E-05		0.000762487
29.7		0.000189203		0.001354025		9.82E-05		0.000751988
29.8		0.000188793		0.001332267		9.67E-05		0.000748649
29.9		0.000186296		0.001321958		9.48E-05		0.000745659
30		0.00018421		0.001295223		9.41E-05		0.00073701
30.1		0.000187985		0.001306577		9.48E-05		0.000727806
30.2		0.000190723		0.0013439		9.24E-05		0.000714732
30.3		0.000192812		0.001382672		9.15E-05		0.000710737
30.4		0.000199933		0.001434151		9.48E-05		0.000735812
30.5		0.000207382		0.001449396		9.77E-05		0.000749922
30.6		0.000209003		0.001441474		9.79E-05		0.000753029
30.7		0.000207633		0.001445975		9.59E-05		0.000750335
30.8		0.000209351		0.001470046		9.74E-05		0.000766487
30.9		0.000204961		0.001446101		9.77E-05		0.000761115
31		0.000204945		0.0014323		9.68E-05		0.000748957
31.1		0.000210008		0.001472332		9.55E-05		0.000747063
31.2		0.000223762		0.001572086		0.00010009		0.000787326
31.3		0.000213882		0.001491522		9.78E-05		0.000768566
31.4		0.000211104		0.001472344		9.73E-05		0.000766031
31.5		0.000217139		0.001508532		9.80E-05		0.000782648
31.6		0.000209212		0.001451753		9.45E-05		0.000774637
31.7		0.000203165		0.001397322		9.24E-05		0.000747902
31.8		0.000201984		0.001374877		9.13E-05		0.000725157
31.9		0.000203733		0.001377177		8.91E-05		0.000706738
32		0.000201883		0.001377174		8.59E-05		0.000688447
32.1		0.000204759		0.001389698		8.58E-05		0.000685877
32.2		0.000214608		0.001435775		8.84E-05		0.000702121
32.3		0.00022373		0.001464797		9.00E-05		0.000712989
32.4		0.000226724		0.00147634		8.93E-05		0.00071864
32.5		0.000237371		0.0015295		9.17E-05		0.000739677
32.6		0.000240766		0.001531056		9.41E-05		0.000744662
32.7		0.000239479		0.001521331		9.32E-05		0.000728431
32.8		0.000249636		0.001595624		9.30E-05		0.000737815
32.9		0.000254058		0.001600908		9.39E-05		0.000748252
33		0.000242968		0.001530008		9.23E-05		0.000732
33.1		0.00022919		0.001452759		8.92E-05		0.000704645
