t		SE_nodrifter		SE_drifter
4.87		1805.646941		2.00996E-05
4.88		1820.100383		1.98629E-05
4.89		1832.722739		1.97788E-05
4.9		1844.603377		1.95778E-05
4.91		1854.817188		2.00293E-05
4.92		1860.359613		1.87632E-05
4.93		1868.677933		1.98303E-05
4.94		1875.594435		1.93424E-05
4.95		1883.442758		1.97226E-05
4.96		1887.456953		1.92273E-05
4.97		1894.76787		1.92559E-05
4.98		1895.362826		1.85653E-05
4.99		1902.625334		1.87695E-05
5		1905.156344		1.83032E-05
5.01		1903.651717		1.86271E-05
5.02		1902.400452		1.88252E-05
5.03		1907.405833		1.92548E-05
5.04		1912.215802		1.92261E-05
5.05		1916.056684		1.93827E-05
5.06		1919.278723		1.80813E-05
5.07		1923.266518		1.80803E-05
5.08		1927.75231		1.88559E-05
5.09		1932.492445		1.86459E-05
5.1		1939.299686		1.89246E-05
5.11		1947.610833		1.89432E-05
5.12		1953.456726		1.87989E-05
5.13		1964.168689		1.90359E-05
5.14		1981.234361		1.82633E-05
5.15		2000.262428		1.84338E-05
5.16		2018.466142		1.81593E-05
5.17		2038.771811		1.84616E-05
5.18		2059.716949		1.8563E-05
5.19		2080.788657		1.84283E-05
5.2		2098.263854		1.85162E-05
5.21		2108.893095		1.84813E-05
5.22		2127.242394		1.90734E-05
5.23		2148.348942		1.77998E-05
5.24		2171.90502		1.80967E-05
5.25		2195.02039		1.75641E-05
5.26		2210.280171		1.77058E-05
5.27		2221.584577		1.7648E-05
5.28		2214.176245		1.77539E-05
5.29		2208.859529		1.70758E-05
5.3		2215.761391		1.70887E-05
5.31		2229.540238		1.6821E-05
5.32		2248.267259		1.65747E-05
5.33		2265.470496		1.60634E-05
5.34		2270.519937		1.56565E-05
5.35		2286.180081		1.5387E-05
5.36		2307.679849		1.49902E-05
5.37		2330.98736		1.47727E-05
5.38		2360.59755		1.4219E-05
5.39		2389.059511		1.39567E-05
5.4		2412.867155		1.35546E-05
5.41		2431.643864		1.28892E-05
5.42		2444.466204		1.29833E-05
5.43		2448.498523		1.24871E-05
5.44		2445.693377		1.13549E-05
5.45		2436.801661		1.10913E-05
5.46		2428.323221		1.09945E-05
5.47		2420.170626		1.0887E-05
5.48		2412.09281		1.08817E-05
5.49		2403.199578		1.07565E-05
5.5		2392.672679		1.07196E-05
5.51		2380.725696		1.06032E-05
5.52		2367.564401		1.05171E-05
5.53		2354.133549		1.04003E-05
5.54		2339.230685		1.04408E-05
5.55		2322.721257		1.03723E-05
5.56		2304.534236		1.02848E-05
5.57		2286.797468		1.02928E-05
5.58		2265.615197		1.01251E-05
5.59		2239.76056		1.00866E-05
5.6		2221.477264		1.00407E-05
5.61		2205.210665		1.00803E-05
5.62		2192.672082		9.95349E-06
5.63		2182.717321		9.96797E-06
5.64		2175.032061		9.81335E-06
5.65		2169.072469		9.88714E-06
5.66		2162.630229		9.85154E-06
5.67		2157.077773		9.79845E-06
5.68		2151.546468		9.77391E-06
5.69		2143.15274		9.78637E-06
5.7		2140.593871		9.7851E-06
5.71		2138.840328		9.82899E-06
5.72		2141.392134		9.88015E-06
5.73		2151.071431		9.89032E-06
5.74		2166.994442		9.94836E-06
5.75		2186.83398		9.98361E-06
5.76		2205.844904		9.98994E-06
5.77		2226.685568		1.08256E-05
5.78		2249.39831		1.01841E-05
5.79		2271.04378		1.05994E-05
5.8		2298.778094		1.05449E-05
5.81		2324.798952		1.01573E-05
5.82		2352.328735		1.03077E-05
5.83		2378.894832		9.9815E-06
5.84		2404.607326		1.04207E-05
5.85		2430.789277		1.04235E-05
5.86		2456.298881		1.04022E-05
5.87		2484.434745		1.04067E-05
5.88		2512.798879		1.01616E-05
5.89		2536.687355		1.01988E-05
5.9		2556.094281		1.00895E-05
5.91		2568.888891		1.02063E-05
5.92		2575.294519		1.01158E-05
5.93		2573.005411		1.02193E-05
5.94		2563.408459		1.01671E-05
5.95		2549.99253		1.01251E-05
5.96		2533.041439		1.01677E-05
5.97		2518.536244		1.00302E-05
5.98		2509.875313		1.02098E-05
5.99		2503.121744		1.01267E-05
6		2498.450041		1.00377E-05
6.01		2495.807433		1.01966E-05
